Date,Open,High,Low,Close,Adj Close,Volume
11/27/2018,625.5,641,625.3,638.9,615.69,12285851
11/28/2018,640.95,668.7,640,666.4,642.19,17719890
11/29/2018,671,674.9,658.8,661.05,637.03,13399070
11/30/2018,661,672,660.95,667.45,643.2,10445773
12/3/2018,673.15,679,665.95,670.35,645.99,8260890
12/4/2018,672.55,688.25,671.3,685.25,660.35,7827923
12/5/2018,683,683.65,672.5,681.4,656.64,5177288
12/6/2018,676.1,685.45,664.55,668.5,644.21,8039771
12/7/2018,672,685.75,665.6,682.8,657.99,5553948
12/10/2018,669.9,683.8,665.2,669.2,644.89,5121196
12/11/2018,669.2,681.9,660.6,674.5,649.99,7120933
12/12/2018,677.1,680.65,670.6,678.5,653.85,6926183
12/13/2018,682,700,680,697.75,672.4,7521474
12/14/2018,697.45,713.7,694.4,706.05,680.4,9560576
12/17/2018,711.85,711.85,692.75,694.4,669.17,4778465
12/18/2018,686.5,686.5,674.55,676.6,652.02,8021298
12/19/2018,671.55,671.55,661.1,664.85,640.69,8295459
12/20/2018,660,671.55,656.4,667.05,642.81,11705260
12/21/2018,659.5,659.5,643.45,646.2,622.72,12802132
12/24/2018,657,658.8,647.6,649,625.42,8379825
12/26/2018,647,647,637.35,644.05,620.65,6178552
12/27/2018,652.75,663.25,649,656.8,632.94,15333902
12/28/2018,663.35,663.5,653.3,656.95,633.08,4736598
12/31/2018,660,662,655.8,658.95,635.01,3373319
1/1/2019,660.95,666.3,654.15,665.05,640.89,2943390
1/2/2019,666,674,662.05,669.05,644.74,7416655
1/3/2019,672,677,663.1,669.15,644.84,6827249
1/4/2019,671.75,673.9,651,661.05,637.03,7889310
1/7/2019,665,673.6,661.5,671.7,647.3,8046340
1/8/2019,674.95,677.45,668.55,670.05,645.7,8621545
1/9/2019,686.2,689.8,664,676.1,651.54,18130292
1/10/2019,681.6,682,672.55,679.7,655,9572493
1/11/2019,680.2,685.5,672.5,683.5,658.67,12281903
1/14/2019,707,710.2,695.95,701.9,676.4,19312937
1/15/2019,707.2,730,707.2,726.6,700.2,19671304
1/16/2019,729.9,737.8,728.5,736.8,710.03,9658944
1/17/2019,735.8,739,729.1,733.35,706.71,6903771
1/18/2019,730,736.2,726.3,730.95,704.39,5902151
1/21/2019,738.2,751,734,745,717.93,8129422
1/22/2019,741.25,749,734,745.35,718.27,6723375
1/23/2019,742.35,742.6,729.2,731.65,705.07,7212099
1/24/2019,728.1,736.1,721,732,705.4,7429783
1/25/2019,728,737.9,724.25,730.35,703.81,5543112
1/28/2019,731,732.6,719,727.95,701.5,7944693
1/29/2019,725.5,732.85,716.5,727.9,701.45,6760819
1/30/2019,727.9,734.8,721.1,725.9,699.53,5763026
1/31/2019,726,751.3,726,749.55,722.32,13825233
2/1/2019,751.35,762.5,744.5,757.05,729.54,6276585
2/4/2019,757,762.5,749.2,755.9,728.44,3945391
2/5/2019,747,759.95,747,754.85,727.42,4694366
